Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error
205_NWChem_1JCH_mulliken,SP3,[154.1471:],154.1471,183.5,29.3529,29.3529,,165_NWChem_1JCH_mulliken,SP2,[206.9582:],206.9582,187.2,-19.7582,19.7582,,66_NWChem_1JCH_mulliken,SP1,[259.4628:],259.4628,247,-12.4628,12.4628
24_NWChem_1JCH_mulliken,SP3,[225.7716:225.7857:],225.77865,212,-13.77865,13.77865,,104_NWChem_1JCH_mulliken,SP2,[211.1446:211.1446:],211.1446,230,18.8554,18.8554,,192_NWChem_1JCH_mulliken,SP1,[265.4909:],265.4909,247.4,-18.0909,18.0909
35_NWChem_1JCH_mulliken,SP3,[142.2822:129.8817:129.8817:],134.0152,145,10.9848,10.9848,,201_NWChem_1JCH_mulliken,SP2,[168.5046:168.5046:],168.5046,178,9.4954,9.4954,,190_NWChem_1JCH_mulliken,SP1,[259.4645:],259.4645,248,-11.4645,11.4645
204_NWChem_1JCH_mulliken,SP3,[151.562:151.562:],151.562,162.5,10.938,10.938,,164_NWChem_1JCH_mulliken,SP2,[220.2869:],220.2869,213,-7.2869,7.2869,,63_NWChem_1JCH_mulliken,SP1,[260.9445:260.9445:],260.9445,249,-11.9445,11.9445
50_NWChem_1JCH_mulliken,SP3,[151.478:151.478:],151.478,161.8,10.322,10.322,,188_NWChem_1JCH_mulliken,SP2,[171.9584:171.9538:],171.9561,165.5,-6.4561,6.4561,,191_NWChem_1JCH_mulliken,SP1,[261.0429:],261.0429,251,-10.0429,10.0429
54_NWChem_1JCH_mulliken,SP3,[176.2071:],176.2071,186,9.7929,9.7929,,60_NWChem_1JCH_mulliken,SP2,[159.7275:],159.7275,153.5,-6.2275,6.2275,,193_NWChem_1JCH_mulliken,SP1,[271.3989:],271.3989,259,-12.3989,12.3989
57_NWChem_1JCH_mulliken,SP3,[217.5258:],217.5258,209,-8.5258,8.5258,,169_NWChem_1JCH_mulliken,SP2,[158.1522:],158.1522,164,5.8478,5.8478,,199_NWChem_1JCH_mulliken,SP1,[270.863:],270.863,267,-3.863,3.863
26_NWChem_1JCH_mulliken,SP3,[184.9592:184.9942:185.0021:184.9942:184.9592:185.0021:],184.9851667,180,-4.9851667,4.9851667,,168_NWChem_1JCH_mulliken,SP2,[158.1879:],158.1879,164,5.8121,5.8121,,194_NWChem_1JCH_mulliken,SP1,[280.5451:],280.5451,269,-11.5451,11.5451
15_NWChem_1JCH_mulliken,SP3,[135.3687:135.1703:135.4853:135.0929:],135.2793,140,4.7207,4.7207,,168_NWChem_1JCH_mulliken,SP2,[164.7961:],164.7961,159,-5.7961,5.7961,,197_NWChem_1JCH_mulliken,SP1,[278.5777:],278.5777,270,-8.5777,8.5777
29_NWChem_1JCH_mulliken,SP3,[213.6112:],213.6112,209.1,-4.5112,4.5112,,154_NWChem_1JCH_mulliken,SP2,[190.9497:190.9497:],190.9497,185.3,-5.6497,5.6497,,198_NWChem_1JCH_mulliken,SP1,[292.4679:],292.4679,277.5,-14.9679,14.9679
