Mol_ID,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error
24_NWChem_1JCH_mulliken,[225.7716:225.7857:],225.77865,212,-13.77865
57_NWChem_1JCH_mulliken,[217.5258:],217.5258,209,-8.5258
26_NWChem_1JCH_mulliken,[184.9592:184.9942:185.0021:184.9942:184.9592:185.0021:],184.9851667,180,-4.9851667
29_NWChem_1JCH_mulliken,[213.6112:],213.6112,209.1,-4.5112
25_NWChem_1JCH_mulliken,[213.1356:],213.1356,208.8,-4.3356
17_NWChem_1JCH_mulliken,[208.7707:208.7707:],208.7707,205,-3.7707
23_NWChem_1JCH_mulliken,[215.5743:215.5743:],215.5743,212,-3.5743
29_NWChem_1JCH_mulliken,[218.4595:],218.4595,215,-3.4595
75_NWChem_1JCH_mulliken,[138.5122:137.658:138.5399:137.6462:],138.089075,135,-3.089075
52_NWChem_1JCH_mulliken,[180.7419:180.7419:],180.7419,178,-2.7419
44_NWChem_1JCH_mulliken,[121.0681:121.0564:121.0683:121.0646:121.0657:121.0773:121.0709:121.0583:121.0503:121.0508:121.0482:121.076:],121.0629083,118.4,-2.6629083
218_NWChem_1JCH_mulliken,[128.3915:129.4356:128.3915:129.4356:],128.91355,126.3,-2.61355
71_NWChem_1JCH_mulliken,[135.504:137.5094:],136.5067,134,-2.5067
25_NWChem_1JCH_mulliken,[217.4693:],217.4693,215,-2.4693
14_NWChem_1JCH_mulliken,[125.8642:124.9139:127.6132:123.3063:],125.4244,123,-2.4244
22_NWChem_1JCH_mulliken,[128.2653:125.9519:],127.1086,125,-2.1086
15_NWChem_1JCH_mulliken,[178.0699:178.1418:],178.10585,176,-2.10585
35_NWChem_1JCH_mulliken,"[129.8,129.8,142.2,151.8,181.3]",146.98,145,-1.98
87_NWChem_1JCH_mulliken,[169.5486:169.5486:],169.5486,167.6,-1.9486
138_NWChem_1JCH_mulliken,[126.0853:131.7335:131.7335:126.0853:],128.9094,127,-1.9094
45_NWChem_1JCH_mulliken,[128.4604:128.4543:129.657:128.4546:128.4601:129.6573:128.4602:129.6573:128.4544:],128.8572889,127,-1.8572889
1_NWChem_1JCH_mulliken,[126.8375:126.8317:126.8365:126.8375:],126.8358,125,-1.8358
223_NWChem_1JCH_mulliken,[134.8968:143.7304:143.7304:],140.7858667,139,-1.7858667
17_NWChem_1JCH_mulliken,[170.7744:170.7744:],170.7744,169,-1.7744
56_NWChem_1JCH_mulliken,[240.861:],240.861,239.1,-1.761
23_NWChem_1JCH_mulliken,[164.5663:164.5663:],164.5663,163,-1.5663
221_NWChem_1JCH_mulliken,[134.8367:141.3156:142.3492:134.8367:141.3156:142.3492:],139.5005,138,-1.5005
