Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
66_NWChem_1JCH_mulliken,SP1,247,259.4628,-12.4628,247.92698,-0.92698
192_NWChem_1JCH_mulliken,SP1,247.4,265.4909,-18.0909,253.95508,-6.55508
190_NWChem_1JCH_mulliken,SP1,248,259.4645,-11.4645,247.92868,0.07132
63_NWChem_1JCH_mulliken,SP1,249,260.9445,-11.9445,249.40868,-0.40868
191_NWChem_1JCH_mulliken,SP1,251,261.0429,-10.0429,249.50708,1.49292
193_NWChem_1JCH_mulliken,SP1,259,271.3989,-12.3989,259.86308,-0.86308
199_NWChem_1JCH_mulliken,SP1,267,270.863,-3.863,259.32718,7.67282
194_NWChem_1JCH_mulliken,SP1,269,280.5451,-11.5451,269.00928,-0.00928
197_NWChem_1JCH_mulliken,SP1,270,278.5777,-8.5777,267.04188,2.95812
198_NWChem_1JCH_mulliken,SP1,277.5,292.4679,-14.9679,280.93208,-3.43208
