Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
164_NWChem_1JCH_mulliken,SP2,213,220.2869,-7.2869,217.8350358,-4.835035824
188_NWChem_1JCH_mulliken,SP2,165.5,171.9561,-6.4561,171.6659275,-6.165927515
154_NWChem_1JCH_mulliken,SP2,185.3,190.9497,-5.6497,189.8100008,-4.510000768
157_NWChem_1JCH_mulliken,SP2,205.5,210.8791,-5.3791,208.8480185,-3.348018494
123_NWChem_1JCH_mulliken,SP2,222,226.7146,-4.7146,223.9752441,-1.975244086
115_NWChem_1JCH_mulliken,SP2,194.9,199.4837,-4.5837,197.9623006,-3.06230055
201_NWChem_1JCH_mulliken,SP2,164,168.5046,-4.5046,168.3688028,-4.368802756
103_NWChem_1JCH_mulliken,SP2,221,225.4291,-4.4291,222.7472406,-1.747240644
87_NWChem_1JCH_mulliken,SP2,228.2,232.613,-4.413,229.6098263,-1.409826349
168_NWChem_1JCH_mulliken,SP2,157,161.0925,-4.0925,161.2882238,-4.288223752
111_NWChem_1JCH_mulliken,SP2,171,174.9886,-3.9886,174.5627929,-3.562792888
157_NWChem_1JCH_mulliken,SP2,188.6,192.5695,-3.9695,191.357352,-2.757351973
153_NWChem_1JCH_mulliken,SP2,168.8,172.6024,-3.8024,172.2833205,-3.483320455
98_NWChem_1JCH_mulliken,SP2,170,173.7227,-3.7227,173.3535128,-3.353512797
159_NWChem_1JCH_mulliken,SP2,208.6,212.2223,-3.6223,210.1311412,-1.531141188
164_NWChem_1JCH_mulliken,SP2,190,193.6045,-3.6045,192.3460595,-2.346059529
158_NWChem_1JCH_mulliken,SP2,194.3,197.8079,-3.5079,196.3614541,-2.061454057
163_NWChem_1JCH_mulliken,SP2,231.1,234.6004,-3.5004,231.5083359,-0.408335909
108_NWChem_1JCH_mulliken,SP2,159,162.4891,-3.4891,162.622358,-3.622358024
159_NWChem_1JCH_mulliken,SP2,208.6,212.0329,-3.4329,209.9502125,-1.350212482
117_NWChem_1JCH_mulliken,SP2,172,175.3217,-3.3217,174.8809943,-2.880994324
155_NWChem_1JCH_mulliken,SP2,201.8,205.1156,-3.3156,203.3423026,-1.542302559
200_NWChem_1JCH_mulliken,SP2,162,165.2833,-3.2833,165.2915818,-3.291581841
144_NWChem_1JCH_mulliken,SP2,161,164.0785,-3.0785,164.1406689,-3.140668931
156_NWChem_1JCH_mulliken,SP2,185.5,188.5125,-3.0125,187.4818094,-1.981809412
116_NWChem_1JCH_mulliken,SP2,159.2,162.1203,-2.9203,162.2700533,-3.070053342
