Mol_ID,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error
164_NWChem_1JCH_mulliken,[220.2869:],220.2869,213,7.2869
188_NWChem_1JCH_mulliken,[171.9584:171.9538:],171.9561,165.5,6.4561
154_NWChem_1JCH_mulliken,[190.9497:190.9497:],190.9497,185.3,5.6497
157_NWChem_1JCH_mulliken,[210.8791:],210.8791,205.5,5.3791
123_NWChem_1JCH_mulliken,[226.7146:],226.7146,222,4.7146
115_NWChem_1JCH_mulliken,[199.4837:],199.4837,194.9,4.5837
201_NWChem_1JCH_mulliken,[168.5046:168.5046:],168.5046,164,4.5046
103_NWChem_1JCH_mulliken,[225.4291:225.4291:],225.4291,221,4.4291
87_NWChem_1JCH_mulliken,[232.613:232.613:],232.613,228.2,4.413
168_NWChem_1JCH_mulliken,[164.7961:],161.0925,157,4.0925
111_NWChem_1JCH_mulliken,[173.0147:176.9625:],174.9886,171,3.9886
157_NWChem_1JCH_mulliken,[192.5695:],192.5695,188.6,3.9695
153_NWChem_1JCH_mulliken,[172.6024:172.6024:],172.6024,168.8,3.8024
98_NWChem_1JCH_mulliken,[173.7227:173.7227:],173.7227,170,3.7227
159_NWChem_1JCH_mulliken,[212.2223:],212.2223,208.6,3.6223
164_NWChem_1JCH_mulliken,[193.6045:],193.6045,190,3.6045
158_NWChem_1JCH_mulliken,[197.8079:],197.8079,194.3,3.5079
163_NWChem_1JCH_mulliken,[234.6004:],234.6004,231.1,3.5004
108_NWChem_1JCH_mulliken,[162.4891:],162.4891,159,3.4891
159_NWChem_1JCH_mulliken,[212.0329:],212.0329,208.6,3.4329
117_NWChem_1JCH_mulliken,[175.3217:175.3217:],175.3217,172,3.3217
155_NWChem_1JCH_mulliken,[205.1156:205.1156:],205.1156,201.8,3.3156
200_NWChem_1JCH_mulliken,[165.2833:],165.2833,162,3.2833
144_NWChem_1JCH_mulliken,[164.0785:],164.0785,161,3.0785
156_NWChem_1JCH_mulliken,[188.5125:],188.5125,185.5,3.0125
116_NWChem_1JCH_mulliken,[162.1203:],162.1203,159.2,2.9203
200_NWChem_1JCH_mulliken,[161.8905:],161.8905,159,2.8905
100_NWChem_1JCH_mulliken,[175.8505:175.8505:175.8505:175.8505:],175.8505,173,2.8505
83_NWChem_1JCH_mulliken,[154.7465:154.7541:],154.7503,151.9,2.8503
99_NWChem_1JCH_mulliken,[168.8357:168.8435:],168.8396,166,2.8396
94_NWChem_1JCH_mulliken,[171.9318:171.9318:],171.9318,169.1,2.8318
153_NWChem_1JCH_mulliken,[186.1032:186.1032:],186.1032,183.3,2.8032
60_NWChem_1JCH_mulliken,[159.7275:],159.7275,157,2.7275
102_NWChem_1JCH_mulliken,[175.4626:175.4626:],175.4626,172.8,2.6626
80_NWChem_1JCH_mulliken,[163.058:],163.058,160.5,2.558
148_NWChem_1JCH_mulliken,[205.1646:],205.1646,202.7,2.4646
115_NWChem_1JCH_mulliken,[164.9371:],164.9371,162.6,2.3371
111_NWChem_1JCH_mulliken,[161.2576:],161.2576,159,2.2576
85_NWChem_1JCH_mulliken,[170.0509:170.0509:170.1043:170.0235:],170.0574,167.8,2.2574
186_NWChem_1JCH_mulliken,[164.517:],164.517,162.3,2.217
