Error,Error_fit
4.7207,-4.392134674
3.48745,-3.007414182
2.6692,-2.880284266
2.42715,-3.093895351
2.4199,-1.956831089
2.364525,-1.849300525
2.3447,-1.877900193
2.318525,-2.034867195
2.15625,-1.545608906
2.1369,-1.646417375
2.11365,-2.490817433
2.0879,-1.67660923
2.0719222,-1.613277086
2.0266667,-1.853376999
1.8892333,-1.84561117
1.8237,-1.465149989
1.817725,-1.276994111
1.7104,-1.501722592
1.6886,-1.372952303
1.6657,-2.307376899
1.51805,-2.182077895
1.490975,-0.891253802
1.4448,-1.662592704
1.4365,-0.877270832
1.4242667,-1.194248247
1.4066667,-0.761633899
1.3671,-0.899630546
1.3502,-1.511030771
1.3461375,-0.655082219
1.34555,-0.947483283
1.2545,-1.313559223
1.2486,-0.814568103
1.24855,-1.621684598
1.0203,-1.400258132
1.0073,-1.061791266
0.9992,-0.482938916
0.9938,-1.843901849
0.9853,-0.331937457
0.9785,-0.462857743
0.92056,-0.236248359
0.8962333,-0.203680405
0.8464,-1.267430872
0.8344667,-0.293235318
0.8264,-1.212154772
0.80065,-0.726791568
0.7814,-1.288080047
0.7755,-0.307779428
0.69075,-2.425835029
0.66305,-0.39599812
0.657875,-0.032237827
0.637375,-0.012350674
0.6256667,-0.598892394
0.5183667,0.130005372
0.4939,-1.15267086
0.4873667,0.013593127
0.4765333,0.024102663
0.4679,0.15205787
0.43232,0.111836706
0.43185,-0.040171844
0.3929857,0.296480608
0.3824,0.115421848
0.2635,-0.982969668
0.223475,0.392165285
0.1823,-0.019305142
0.171575,0.230259235
0.1489,-1.302283635
0.1474,-0.194713477
0.1371333,0.4430413
0.1241,0.30620997
0.104,0.30478258
0.0946,0.361733567
0.0537667,0.601642655
0.0211,0.430046785
0.0158,0.602600341
-0.0441,0.693594131
-0.06625,-0.645140544
-0.0968444,0.759709237
-0.1015,0.674540657
-0.1042667,0.677224647
-0.1636,0.797563678
-0.1728667,0.23555885
-0.1741,0.505810281
-0.3407,0.601660773
-0.3442,0.539287141
-0.4084,0.284680882
-0.4183,1.023722922
-0.4350333,1.039955979
-0.50965,0.487536513
-0.5482667,0.719316267
-0.54945,0.182354192
-0.5959,0.885105569
-0.61405,0.720353475
-0.6777,0.067610158
-0.7045,0.930668973
-0.7073,0.751025766
-0.7426,-0.760301027
-0.74495,1.35854472
-0.80745,0.821276282
-0.808875,0.135073682
-0.8191,0.982053005
-0.8327,0.711243933
-0.8348083,1.496538206
-0.8517,0.236408428
-1.00885,0.418755429
-1.1416,0.688043368
-1.2025,0.606616262
-1.21585,0.954391164
-1.2379,-0.56082102
-1.4959833,1.698490879
-1.5005,1.702872552
-1.5663,1.019330462
-1.761,-1.066799595
-1.7744,1.041839312
-1.7858667,1.949813215
-1.8358,2.416783759
-1.8572889,2.377840248
-1.9094,2.428393487
-1.9486,1.252684603
-2.10585,1.154115614
-2.1086,2.681428403
-2.4244,3.047577562
-2.4693,0.340795276
-2.5067,2.798572203
-2.61355,3.132419423
-2.6629083,3.416472656
-2.7419,1.711360899
-3.089075,3.333642103
-3.4595,1.301393247
-3.5743,1.502446301
-3.7707,1.902239923
-4.3356,2.336651238
-4.5112,2.498033176
-4.9851667,3.827775142
