Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
100_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])=C([H])C1([H])C2([H])([H])),a8,FALSE,FALSE,6.11759,2,7.104875,0,5.354075371,8.049368709,SP2,0.89256,4.4309375,7.52695179,175.8505,175.8505,1.080974191,173,12.80595636,0,0,0
102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a9,FALSE,FALSE,6.11188,2,6.46425,0,5.327734983,8.017972889,SP2,0.89543,4.110625,7.525097038,175.4626,175.4626,1.079551904,172.8,14.30964085,0,0,0
103_NWChem_1JCH_mulliken,[H]C1=C([H])C1(C([H])([H])[H])C([H])([H])[H],a6,FALSE,TRUE,6.14778,2,6.029,0,5.375052873,8.074358642,SP2,0.89332,3.893,7.528594103,225.4291,225.4291,1.077263367,221,55.37216573,0,0,0
104_NWChem_1JCH_mulliken,[H]C1=C([H])C1(=O),a5,FALSE,TRUE,6.08135,2,4.9325,0,5.893848882,8.684569435,SP2,0.87978,3.34475,7.577428974,211.1446,211.1446,1.081517924,230,58.00903562,0,0,0
105_NWChem_1JCH_mulliken,[H]C1=C([H])C1(C#N)(C#N),a8,FALSE,TRUE,6.03421,2,6.0895,0,5.619164759,8.36173547,SP2,0.85942,3.92325,7.541836097,255.6601,255.6601,1.074904817,255,54.90545252,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a13,FALSE,FALSE,6.41831,2,7.177,0,5.410231462,8.116238796,SP2,0.87046,4.467,7.532310219,142.4992,142.510575,1.090327428,140.3,-5.152198876,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a10,FALSE,FALSE,6.41875,2,7.177,0,5.410231462,8.116238796,SP2,0.87081,4.467,7.532310219,142.5076,142.510575,1.090317688,140.3,-5.152144676,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a14,FALSE,FALSE,6.41872,2,7.177,0,5.410231462,8.116238796,SP2,0.87198,4.467,7.532310219,142.5116,142.510575,1.090315951,140.3,-5.153974863,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a15,FALSE,FALSE,6.41814,2,7.177,0,5.410231462,8.116238796,SP2,0.87246,4.467,7.532310219,142.5239,142.510575,1.090319878,140.3,-5.144809011,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a17,FALSE,FALSE,6.2055,1,5.539,0,5.198766323,7.863971552,SP2,0.89449,3.648,7.500642016,156.223,156.223,1.086551286,156.1,-2.07662191,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a12,FALSE,FALSE,6.20579,1,5.539,0,5.198766323,7.863971552,SP2,0.89427,3.648,7.500642016,156.225,156.225,1.0865529,156.1,-2.076975316,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a19,FALSE,FALSE,6.20599,1,5.539,0,5.198766323,7.863971552,SP2,0.89484,3.648,7.500642016,156.227,156.227,1.086551443,156.1,-2.073305286,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a21,FALSE,FALSE,6.20698,1,5.539,0,5.198766323,7.863971552,SP2,0.89504,3.648,7.500642016,156.2278,156.2278,1.086553435,156.1,-2.072408078,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a11,FALSE,FALSE,6.20579,1,5.539,0,5.198766323,7.863971552,SP2,0.89568,3.648,7.500642016,157.4395,157.4395,1.085908633,156.5,-2.17096373,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a16,FALSE,FALSE,6.2055,1,5.539,0,5.198766323,7.863971552,SP2,0.89763,3.648,7.500642016,157.4426,157.4426,1.085904909,156.5,-2.169924728,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a18,FALSE,FALSE,6.20599,1,5.539,0,5.198766323,7.863971552,SP2,0.8977,3.648,7.500642016,157.4432,157.4432,1.085914313,156.5,-2.171110026,0,0,0
106_NWChem_1JCH_mulliken,[H]C([H])=C([H])[Si](C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],a20,FALSE,FALSE,6.20698,1,5.539,0,5.198766323,7.863971552,SP2,0.89469,3.648,7.500642016,157.4449,157.4449,1.085911875,156.5,-2.171806953,0,0,0
107_NWChem_1JCH_mulliken,[H]C([H])=C([H])C([H])=O,a7,FALSE,FALSE,6.20157,1,4.60425,0,5.238189108,7.912159874,SP2,0.89372,3.180625,7.502703778,156.7962,156.7962,1.085610526,156.6,-2.163405052,0,0,0
107_NWChem_1JCH_mulliken,[H]C([H])=C([H])C([H])=O,a6,FALSE,FALSE,6.20157,1,4.60425,0,5.238189108,7.912159874,SP2,0.87871,3.180625,7.502703778,162.6158,162.6158,1.083116048,162.3,-1.0868458,0,0,0
107_NWChem_1JCH_mulliken,[H]C([H])=C([H])C([H])=O,a5,FALSE,FALSE,6.08253,2,5.3075,0,5.747910013,8.516005859,SP2,0.87232,3.53225,7.569250168,163.3012,163.3012,1.084748308,162.3,-1.1169451,0,0,0
108_NWChem_1JCH_mulliken,[H]C([H])=C([H])C(=O)C([H])([H])[H],a5,FALSE,FALSE,6.17241,2,5.94825,0,5.771021285,8.543185787,SP2,0.89607,3.852625,7.570949961,157.2348,157.2348,1.084839143,162,-1.686167747,0,0,0
108_NWChem_1JCH_mulliken,[H]C([H])=C([H])C(=O)C([H])([H])[H],a6,FALSE,FALSE,6.16028,1,4.924625,0,5.240254792,7.914518706,SP2,0.89116,3.3408125,7.502757125,159.5627,159.5627,1.083145322,161,-0.17518732,0,0,0
108_NWChem_1JCH_mulliken,[H]C([H])=C([H])C(=O)C([H])([H])[H],a7,FALSE,FALSE,6.16028,1,4.924625,0,5.240254792,7.914518706,SP2,0.86482,3.3408125,7.502757125,162.4891,162.4891,1.084349078,159,-1.769668579,0,0,0
109_NWChem_1JCH_mulliken,[H]OC(=O)C([H])=C([H])[H],4,FALSE,FALSE,6.14575,2,5.55475,0.019244053,6.003176115,8.814797236,SP2,0.86308,3.655875,7.586322029,167.806,167.806,1.083519115,169,-5.936986515,0,0,0
110_NWChem_1JCH_mulliken,[H]C([H])=C([H])C#N,a7,FALSE,FALSE,6.16489,1,4.56,0,5.298933465,7.983402227,SP2,0.87655,3.1585,7.506416522,164.2431,164.2431,1.082578296,163.2,-0.563839001,0,0,0
110_NWChem_1JCH_mulliken,[H]C([H])=C([H])C#N,a6,FALSE,FALSE,6.16489,1,4.56,0,5.298933465,7.983402227,SP2,0.87902,3.1585,7.506416522,164.4094,164.4094,1.082331479,165.4,-1.836418574,0,0,0
110_NWChem_1JCH_mulliken,[H]C([H])=C([H])C#N,a5,FALSE,FALSE,6.10095,2,5.219,0,6.125325577,8.957591965,SP2,0.86641,3.488,7.625170206,171.8438,171.8438,1.084548744,176.7,-3.094876179,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],7,FALSE,FALSE,6.22131,1,5.918,-0.14913317,5.26486989,7.944065483,SP2,0.89793,3.8375,7.505243526,160.8388,160.8388,1.082358098,159,0.126121721,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],9,FALSE,FALSE,6.19493,1,5.918,-0.066137382,5.26486989,7.944065483,SP2,0.8923,3.8375,7.505243526,161.1772,161.1772,1.083560836,163,-2.279330548,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],10,FALSE,FALSE,6.19493,1,5.918,-0.066137382,5.26486989,7.944065483,SP2,0.8909,3.8375,7.505243526,161.2576,161.2576,1.083220481,159,-0.394442967,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],6,FALSE,FALSE,6.22131,1,5.918,-0.14913317,5.26486989,7.944065483,SP2,0.88979,3.8375,7.505243526,163.7566,163.7566,1.083056467,163,-2.982375072,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],5,FALSE,FALSE,6.26979,2,7.935,0.056731777,5.73010937,8.498288371,SP2,0.86185,4.846,7.596275193,173.0147,174.9886,1.085106489,171,-8.444171611,0,0,0
111_NWChem_1JCH_mulliken,[H]C(=C([H])[H])SC([H])=C([H])[H],8,FALSE,FALSE,6.27647,2,7.935,0.016462869,5.73010937,8.498288371,SP2,0.85,4.846,7.596275193,176.9625,174.9886,1.08555892,171,-3.012105775,0,0,0
112_NWChem_1JCH_mulliken,[H]C(OC([H])=C([H])[H])=C([H])[H],6,FALSE,FALSE,6.28643,1,4.65,-0.200271681,5.392669941,8.095624669,SP2,0.88792,3.2035,7.514179927,160.504,160.504,1.081720969,159,0.513946238,0,0,0
112_NWChem_1JCH_mulliken,[H]C(OC([H])=C([H])[H])=C([H])[H],7,FALSE,FALSE,6.28643,1,4.65,-0.200271681,5.392669941,8.095624669,SP2,0.8982,3.2035,7.514179927,163.8174,163.8174,1.080327995,165,-1.788838485,0,0,0
112_NWChem_1JCH_mulliken,[H]C(OC([H])=C([H])[H])=C([H])[H],5,FALSE,FALSE,5.86124,2,5.399,0.07715565,6.287188728,9.155552911,SP2,0.91987,3.578,7.717101435,177.254,177.254,1.085965325,182,-1.859445373,0,0,0
115_NWChem_1JCH_mulliken,[H]C(=C([H])[H])Cl,5,FALSE,FALSE,6.17809,1,4.879,-0.057482029,5.347311266,8.041366711,SP2,0.88754,3.318,7.510358614,161.8418,161.8418,1.083335184,160.9,-2.64830296,0,0,0
115_NWChem_1JCH_mulliken,[H]C(=C([H])[H])Cl,4,FALSE,FALSE,6.17809,1,4.879,-0.057482029,5.347311266,8.041366711,SP2,0.88188,3.318,7.510358614,164.9371,164.9371,1.081796951,162.6,0.717291019,0,0,0
115_NWChem_1JCH_mulliken,[H]C(=C([H])[H])Cl,3,FALSE,FALSE,6.18455,2,5.857,0.01895345,6.213394123,9.065976752,SP2,0.84663,3.807,7.672568041,199.4837,199.4837,1.081051941,194.9,-3.293216353,0,0,0
116_NWChem_1JCH_mulliken,[H]C(F)=C([H])[H],4,FALSE,FALSE,6.25592,1,3.8555,-0.070036492,5.429464135,8.138438564,SP2,0.88006,2.80625,7.515792524,162.1203,162.1203,1.081725346,159.2,0.684400206,0,0,0
116_NWChem_1JCH_mulliken,[H]C(F)=C([H])[H],5,FALSE,FALSE,6.25592,1,3.8555,-0.070036492,5.429464135,8.138438564,SP2,0.88843,2.80625,7.515792524,163.6972,163.6972,1.081031747,162.2,-1.768221734,0,0,0
116_NWChem_1JCH_mulliken,[H]C(F)=C([H])[H],3,FALSE,FALSE,5.83961,2,3.81,0.019374361,6.625332511,9.547050907,SP2,0.89326,2.7835,7.749033751,200.6042,200.6042,1.082309452,200.2,-2.044726964,0,0,0
117_NWChem_1JCH_mulliken,[H]C([H])=O,a3,FALSE,FALSE,5.80476,1,2.604,0,6.846899094,9.805058815,SP2,0.91856,2.1805,7.781085156,175.3217,175.3217,1.106578618,172,-1.940642966,0,0,0
118_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a4,FALSE,FALSE,5.71855,2,3.8615,0,6.931053293,9.903482902,SP2,0.93197,2.80925,7.802574418,169.1196,169.1196,1.109956169,172.4,-4.7275912,0,0,0
119_NWChem_1JCH_mulliken,[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a4,FALSE,FALSE,5.76867,2,5.74775,0,7.001592478,9.984699012,SP2,0.93355,3.752375,7.807831545,166.3609,166.3609,1.112569034,168.6,-5.923615573,0,0,0
120_NWChem_1JCH_mulliken,[H]C(=O)c1c([H])c([H])c([H])c([H])c1([H]),8,FALSE,FALSE,5.77525,2,6.1396875,0.04732797,7.210620592,10.22391485,SP2,0.93193,3.94834375,7.838231899,171.1227,171.1227,1.109235854,173.7,-4.990467645,0,0,0
121_NWChem_1JCH_mulliken,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],2,FALSE,FALSE,5.64319,2,4.9555,0.049986386,7.547018142,10.61292317,SP2,0.94817,3.35625,7.919460826,191.6148,191.6148,1.103823482,191.2,-5.75140323,0,0,0
