rowID,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
1,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a7,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.89433,4.0465,7.342112759,132.596,132.596,1.093074467,132.7,12.19033693,44.02902105,121.4544938,28.10967899
2,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a8,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.88821,4.0465,7.342112759,144.8073,144.8073,1.091098897,144.1,20.4268615,35.79249648,127.4047448,28.10967899
3,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a9,FALSE,TRUE,6.09739,3,7.327,0,0,7.780462193,SP3,0.89297,4.389,7.383541955,153.5552,153.5552,1.088599898,155,42.39415161,42.39415161,137.1549086,23.91933287
4,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a8,FALSE,TRUE,6.10157,3,6.94,0,0,7.837400545,SP3,0.89159,4.1955,7.386983846,168.3061,168.3061,1.082338244,168.8,54.69755332,54.69755332,124.9892777,52.99433913
5,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a12,FALSE,TRUE,6.10924,3,6.787,0,0,7.760344158,SP3,0.89033,4.119,7.36616056,206.3418,206.4379,1.07979257,205.2,115.3729811,115.3729811,145.0742355,47.71180619
6,102_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C3([H])(C1([H])C23([H]))),a7,FALSE,TRUE,6.10911,3,6.787,0,0,7.760344158,SP3,0.8904,4.119,7.36616056,206.534,206.4379,1.079750795,205.2,115.348608,115.348608,145.1939543,47.70385469
7,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),11,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88392,4.199125,7.39489816,170.0462,170.06625,1.089535732,170,36.27214165,76.19249354,123.3589686,56.23231759
8,136_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C2([H])([H]),12,FALSE,TRUE,6.26279,2,6.94725,0,0,7.962751845,SP3,0.88389,4.199125,7.39489816,170.0863,170.06625,1.089531931,170,36.28085228,76.18378291,123.3640479,56.23231759
9,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),13,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89079,4.28596875,7.366871865,137.3276,137.33695,1.092350426,138,11.74176859,34.34489414,125.5978291,23.04333137
10,137_NWChem_1JCH_mulliken,[H]c1c([H])c([H])c2c(c1([H]))C([H])([H])C2([H])([H]),12,FALSE,TRUE,6.25138,2,7.1209375,0,0,7.76597117,SP3,0.89078,4.28596875,7.366871865,137.3463,137.33695,1.092336193,138,11.74898043,34.3376823,125.6031988,23.04333137
