S. No,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
1,1_NWChem_1JCH_mulliken,[H]C([H])([H])[H],a3,FALSE,FALSE,6.45437,0,2.612,0,0,7.276082892,SP3,0.88641,2.0315,7.291347241,126.8317,126.8358,1.090096364,125,-0.006199288,0.006199288,125.2629259,4.9E-324
2,1_NWChem_1JCH_mulliken,[H]C([H])([H])[H],a4,FALSE,FALSE,6.45437,0,2.612,0,0,7.276082892,SP3,0.8864,2.0315,7.291347241,126.8365,126.8358,1.09009206,125,-0.003275258,0.003275258,125.2636569,4.9E-324
3,1_NWChem_1JCH_mulliken,[H]C([H])([H])[H],a2,FALSE,FALSE,6.45437,0,2.612,0,0,7.276082892,SP3,0.8864,2.0315,7.291347241,126.8375,126.8358,1.090092312,125,-0.002586493,0.002586493,125.2638977,4.9E-324
4,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a9,FALSE,FALSE,6.18554,2,6.9165,0,0,7.500560113,SP3,0.91728,4.18375,7.33433776,122.6413,123.2070143,1.09664756,123.6,-1.453375454,7.118469539,121.5088309,1.767118698
5,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a12,FALSE,FALSE,6.19439,2,6.9165,0,0,7.500560113,SP3,0.91514,4.18375,7.33433776,122.9386,123.2070143,1.095685802,123.6,-5.092199199,8.928823406,119.1932937,1.784618722
6,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a11,FALSE,FALSE,6.18395,2,6.9165,0,0,7.500560113,SP3,0.9167,4.18375,7.33433776,123.0241,123.2070143,1.097107183,123.6,-5.00557752,9.010570718,119.5154922,1.45877474
7,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a10,FALSE,FALSE,6.18395,2,6.9165,0,0,7.500560113,SP3,0.89868,4.18375,7.33433776,123.1439,123.2070143,1.095682534,123.6,-5.107423217,8.90872502,119.6095059,1.489739839
8,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a20,FALSE,FALSE,6.18278,2,6.9165,0,0,7.500560113,SP3,0.90641,4.18375,7.33433776,123.4722,123.2070143,1.095402135,123.6,-5.422215339,9.629933492,119.1275297,1.672481135
9,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a13,FALSE,FALSE,6.19439,2,6.9165,0,0,7.500560113,SP3,0.89518,4.18375,7.33433776,123.5651,123.2070143,1.094744836,123.6,-5.442203858,8.615926215,119.032523,1.586861179
10,10_NWChem_1JCH_mulliken,[H]C1([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])([H])),a8,FALSE,FALSE,6.18554,2,6.9165,0,0,7.500560113,SP3,0.89533,4.18375,7.33433776,123.6639,123.2070143,1.094901843,123.6,-6.11407467,6.11407467,119.7029384,4.9E-324
11,100_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])=C([H])C1([H])C2([H])([H])),a14,FALSE,FALSE,6.18857,2,7.48,0,0,7.674084477,SP3,0.88835,4.4655,7.345816715,135.1741,135.1741,1.091538161,135,9.967418061,25.0019116,124.5891155,17.48466483
12,100_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])=C([H])C1([H])C2([H])([H])),a10,FALSE,FALSE,6.10687,3,8.22125,0,0,7.943353703,SP3,0.89022,4.836125,7.409773345,147.8526,147.8526,1.088427061,148,24.54964208,24.54964208,134.041737,11.14158035
13,101_NWChem_1JCH_mulliken,[H]C1=C([H])C2([H])(C([H])([H])C1([H])C2([H])([H])),a7,FALSE,TRUE,6.20195,2,6.642,0,0,7.611835616,SP3,0.89433,4.0465,7.342112759,132.596,132.596,1.093074467,132.7,12.19033693,44.02902105,121.4544938,28.10967899
